id,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
79,102,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998,Altair,0017,1.8,1.8,10.5
80,103,Luhman 16B,6.516,0.041047284,0.10481826,Altair,0017,1.8,1.8,10.5
81,104,Luhman 16A,6.516,0.03818352,0.10379063,Acrux,0320,18,8.9,"25,000"
82,105,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,Acrux,0320,18,8.9,"25,000"
83,106,TWA 28,180.0,0.034365168,0.24560357,Acrux,0320,18,8.9,"25,000"
84,107,Cha 110913-773444,163.0,0.007636704,0.18497339999999998,Acrux,0320,18,8.9,"25,000"
85,109,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,Acrux,0320,18,8.9,"25,000"
86,110,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999,Acrux,0320,18,8.9,"25,000"
87,111,TWA 26,137.0,0.028637640000000002,0.2260786,Acrux,0320,18,8.9,"25,000"
88,113,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,Aldebaran,0065,1.5,44,520
89,114,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,Aldebaran,0065,1.5,44,520
90,117,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,Aldebaran,0065,1.5,44,520
91,118,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998,Aldebaran,0065,1.5,44,520
92,121,2M 1237+6526,45.6,0.039138108,0.09659721999999998,Antares,0600,12,680,"75,000"
93,123,TWA 29,262.0,0.0238647,0.205526,Antares,0600,12,680,"75,000"
94,124,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999,Antares,0600,12,680,"75,000"
95,125,Kelu-1A,61.0,0.060139044,0.10070773999999999,Antares,0600,12,680,"75,000"
96,126,Kelu-1B,61.0,0.055366104,0.10070773999999999,Antares,0600,12,680,"75,000"
97,127,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,Antares,0600,12,680,"75,000"
98,128,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999,Spica,0260,11.43,7.47,"20,512"
99,129,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998,Spica,0260,11.43,7.47,"20,512"
100,130,2MASS J13595510-4034582,51.0,0.060139044,0.102763,Spica,0260,11.43,7.47,"20,512"
101,131,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999,Spica,0260,11.43,7.47,"20,512"
102,132,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999,Spica,0260,11.43,7.47,"20,512"
103,133,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,Spica,0260,11.43,7.47,"20,512"
104,134,LHS 2924,38.5,0.072548688,0.10892878,Spica,0260,11.43,7.47,"20,512"
105,135,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,Spica,0260,11.43,7.47,"20,512"
106,136,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998,Pollux,0034,1.9,8.8,43
107,137,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999,Pollux,0034,1.9,8.8,43
108,138,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445,Pollux,0034,1.9,8.8,43
109,139,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999,Pollux,0034,1.9,8.8,43
110,140,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,Pollux,0034,1.9,8.8,43
111,141,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998,Pollux,0034,1.9,8.8,43
112,142,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998,Pollux,0034,1.9,8.8,43
113,143,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,Pollux,0034,1.9,8.8,43
114,144,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999,Fomalhaut,0025,1.9,1.8,16.6
115,145,TVLM 868-110639,53.0,0.075412452,0.11098404,Fomalhaut,0025,1.9,1.8,16.6
116,147,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999,Fomalhaut,0025,1.9,1.8,16.6
117,148,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999,Fomalhaut,0025,1.9,1.8,16.6
118,149,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,Fomalhaut,0025,1.9,1.8,16.6
119,150,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998,Fomalhaut,0025,1.9,1.8,16.6
120,151,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108999999998,Fomalhaut,0025,1.9,1.8,16.6
121,152,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,Deneb,"2,600",19,203,"200,000"
122,153,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721999999998,Deneb,"2,600",19,203,"200,000"
123,154,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721999999998,Deneb,"2,600",19,203,"200,000"
124,155,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,Deneb,"2,600",19,203,"200,000"
125,156,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999,Deneb,"2,600",19,203,"200,000"
126,157,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998,Deneb,"2,600",19,203,"200,000"
127,158,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,Deneb,"2,600",19,203,"200,000"
128,159,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997,Deneb,"2,600",19,203,"200,000"
129,161,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999,Mimosa,0350,16,8.4,"34,000"
130,162,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999,Mimosa,0350,16,8.4,"34,000"
131,163,LSR J1835+3259,18.5,0.073503276,0.10995641,Mimosa,0350,16,8.4,"34,000"
132,164,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,Mimosa,0350,16,8.4,"34,000"
133,165,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,Mimosa,0350,16,8.4,"34,000"
134,166,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997,Mimosa,0350,16,8.4,"34,000"
135,167,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999,Mimosa,0350,16,8.4,"34,000"
136,168,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,Regulus,0077,3.8,3.1,290
137,170,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,Regulus,0077,3.8,3.1,290
138,171,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739,Regulus,0077,3.8,3.1,290
139,172,HB 2124-4228,113.0,0.089731272,0.12434322999999999,Regulus,0077,3.8,3.1,290
140,173,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999,Regulus,0077,3.8,3.1,290
141,174,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999,Regulus,0077,3.8,3.1,290
142,176,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,Adhara,0430,12.5,14,"39,000"
143,177,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998,Adhara,0430,12.5,14,"39,000"
144,178,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999,Adhara,0430,12.5,14,"39,000"
145,179,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998,Adhara,0430,12.5,14,"39,000"
146,180,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,Adhara,0430,12.5,14,"39,000"
147,181,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998,Adhara,0430,12.5,14,"39,000"
148,182,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997,Adhara,0430,12.5,14,"39,000"
149,183,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,Adhara,0430,12.5,14,"39,000"
150,184,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998,Shaula,0700,14.5,8.8,"36,000"
151,185,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001,Shaula,0700,14.5,8.8,"36,000"
152,223,WISE 0410+1502,20.0,0.005727528,0.12023270999999998,Elnath,0130,5.0,4.2,700
153,227,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046,Miaplacidus,0110,3.5,6.8,290
154,228,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994,Miaplacidus,0110,3.5,6.8,290
155,282,WISE 1405+5534,25.3,0.028637640000000002,0.08837618,Mirfak,0590,8.5,68,"5,000"
